line_id,bias_code,elo,fen_after_key_move,history_uci,model,model_revision,rank,move_uci,policy_probability,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,status
PST-04,B4,1300,rnbqkbn1/ppp1ppp1/7r/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
PST-04,B4,1500,rnbqkbn1/ppp1ppp1/7r/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
PST-04,B4,1700,rnbqkbn1/ppp1ppp1/7r/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
PST-04,B4,1900,rnbqkbn1/ppp1ppp1/7r/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
PST-04,B4,2100,rnbqkbn1/ppp1ppp1/7r/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-06,B5,1100,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNP1/PPQ2PP1/RN2KB1R b KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-06,B5,1300,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNP1/PPQ2PP1/RN2KB1R b KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-06,B5,1500,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNP1/PPQ2PP1/RN2KB1R b KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-06,B5,1700,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNP1/PPQ2PP1/RN2KB1R b KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-06,B5,1900,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNP1/PPQ2PP1/RN2KB1R b KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-06,B5,2100,r1b1kb1r/pp2pppp/1qn5/2pp4/3P4/2P1PNP1/PPQ2PP1/RN2KB1R b KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-07,B5,1100,r1b1kb1r/pp2pp2/1qn4p/2pp2pn/3P3B/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
